Dwie Wieże Flanders Red Ale Red Wine Foeder Aged,Sour Red / Brown,6
Zamkowy Cieszyn Rye Wine Cieszyńskie,Barley Wine / Wheat Wine,9.9
Palatum Cold Crush,IPA - Black / Dark,6.8
Dwie Wieże Gruszka Morela Sour Ale,Sour / Wild Ale,5.5
AleBrowar / BrauKunstKeller Herr Axolotl (Raspberry),Berliner Weisse,3.8
Golem Double Dybuk,Porter - Imperial / Double,10
Palatum Lapsus,Grodziskie/Gose/Lichtenhainer,3.3
The Garage Monks Redneck,Berliner Weisse,4.3
Ziemia Obiecana Hallo Berlin!,IPA - Session,5.5
Ziemia Obiecana Tak Trzeba Żyć,Sour / Wild Ale,5.7
PiwoWarownia Czerwony Kapselek,IPA,5.2
Deer Bear Let's Cook Mango Gose,Grodziskie/Gose/Lichtenhainer,4.6
Podgórz Siostra Bożenka,IPA,6
Piwojad Blanka Pinot Blanc & Pinot Noir BA,Witbier,5
Dugges Black Currant,Sour / Wild Ale,4.5
Piwojad Czternastka,Czech Pilsner (Světlý),5.8
PINTA Go Deeper,IPA,7.2
Łańcut Flanders Brett,Sour / Wild Ale,6.7
Brovca Atlantyk,Pale Ale - American,5.8
Waszczukowe Porter z Puszczy,Porter - Baltic,10
Hopium Dawid Hazylhopp,IPA,5.4
Łańcut Czarna Polewka,Stout,4.8
Rzeka Piwa Grim Beaver,Wheat Ale,4.8
Palatum Amicus Tropicus,Sour / Wild Ale,5.2
Kingpin Señor Ehuehue,IPA - Imperial / Double,5.7
Harpagan Klątwa Masztalerza,Sour / Wild Ale,5.6
Dwie Wieże RIS,Stout - Imperial,9
Harpagan Kuracja Szamana,Grodziskie/Gose/Lichtenhainer,3.5
Golem Lilith Rum Barrel-Aged,Stout - Imperial,10
Hopium Miroslav Gose,Grodziskie/Gose/Lichtenhainer,5.3
Kazimierz Mangoł,Pale Ale - American,4.2
PINTA Parritapa,Pale Ale - American,5
AleBrowar Brown Foot,Brown Ale,6.2
Ziemia Obiecana Luis,Saison,5.6
Boon Oude Kriek,Lambic - Fruited,6.5
Dwie Wieże Flanders Red Ale Red Wine Foeder Aged,Sour Red / Brown,6
Dieu du Ciel! Aphrodisiaque,Stout,6.5
Artezan Too Young To Be Herod 2018,Stout - Imperial,10
